date,stablecoin,price,peg_value,market_cap,volume,jurisdiction,reserve_type,compliance_status,peg_currency,btc_volatility,eth_volatility,usd_short_rate,dxy,vix,volume_source
2024-01-20,EURC,1.0960000099504772,1.0879143476486206,48464008.0,,EU,fiat_reserve,regulated,EUR,0.01993413780890236,0.025308607121404588,0.05197999954223633,103.29000091552734,13.300000190734863,missing
2024-01-21,EURC,1.0990000062222596,1.0879143476486206,48748207.0,,EU,fiat_reserve,regulated,EUR,0.017765349487290544,0.020290585665917425,0.05197999954223633,103.29000091552734,13.300000190734863,missing
2024-01-22,EURC,1.0959999978357358,1.089229702949524,48615136.0,,EU,fiat_reserve,regulated,EUR,0.023403682653524743,0.02799785519780217,0.051999998092651364,103.33000183105469,13.1899995803833,missing
2024-01-23,EURC,1.0899999979679065,1.088020920753479,48275338.0,,EU,fiat_reserve,regulated,EUR,0.02232764749335006,0.02152265439794286,0.052100000381469724,103.62000274658203,12.550000190734863,missing
2024-01-24,EURC,1.0919999925768988,1.0857881307601929,48251531.0,,EU,fiat_reserve,regulated,EUR,0.023243093929757676,0.0223761354518334,0.052100000381469724,103.23999786376953,13.140000343322754,missing
2024-01-25,EURC,1.0889999946915587,1.088174819946289,48209066.0,,EU,fiat_reserve,regulated,EUR,0.0202922211808602,0.02243067656618082,0.05195000171661377,103.56999969482422,13.449999809265137,missing
2024-01-26,EURC,1.088999987807156,1.0847046375274658,48051299.0,,EU,fiat_reserve,regulated,EUR,0.028145290155887254,0.025172214582705067,0.051999998092651364,103.47000122070312,13.260000228881836,missing
2024-01-27,EURC,1.0879999932878666,1.0847046375274658,47979975.0,,EU,fiat_reserve,regulated,EUR,0.028244159167333072,0.02563806188003014,0.051999998092651364,103.47000122070312,13.260000228881836,missing
2024-01-28,EURC,1.0869999987754893,1.0847046375274658,47935876.0,,EU,fiat_reserve,regulated,EUR,0.02822157631111672,0.0257036868639047,0.051999998092651364,103.47000122070312,13.260000228881836,missing
2024-01-29,EURC,1.0879999932878666,1.0843517780303955,47979975.0,,EU,fiat_reserve,regulated,EUR,0.018495684567325605,0.01916218189485137,0.051999998092651364,103.61000061035156,13.600000381469727,missing
2024-01-30,EURC,1.0869999976815203,1.0834470987319946,47821854.0,,EU,fiat_reserve,regulated,EUR,0.020144554567344018,0.013674119104015822,0.05203000068664551,103.4000015258789,13.3100004196167,missing
2024-01-31,EURC,1.0890000092294656,1.08433997631073,47904616.0,,EU,fiat_reserve,regulated,EUR,0.021453706899267556,0.018430980769984468,0.05188000202178955,103.2699966430664,14.350000381469727,missing
2024-02-01,EURC,1.0789999969520896,1.0803920030593872,47437745.0,,EU,fiat_reserve,regulated,EUR,0.020738493975411266,0.017932895492636144,0.051999998092651364,103.05000305175781,13.880000114440918,missing
2024-02-02,EURC,1.0869999908330616,1.0874648094177246,47668478.0,,EU,fiat_reserve,regulated,EUR,0.01332775902662071,0.01635126564874805,0.052100000381469724,103.91999816894531,13.850000381469727,missing
2024-02-03,EURC,1.086000009998532,1.0874648094177246,47791016.0,,EU,fiat_reserve,regulated,EUR,0.013684822121145067,0.016614051792622708,0.052100000381469724,103.91999816894531,13.850000381469727,missing
2024-02-04,EURC,1.0819999911344282,1.0874648094177246,47597607.0,,EU,fiat_reserve,regulated,EUR,0.014417123060593262,0.016504570952820326,0.052100000381469724,103.91999816894531,13.850000381469727,missing
