event_name,jurisdiction,event_date,window_days,outcome,treated_pre_mean,treated_post_mean,treated_change,all_pre_mean,all_post_mean,all_change
Hong Kong first stablecoin issuer licences,HK,2026-04-10,7,peg_deviation,0.0008446282240743841,0.0005452899164015701,-0.000299338307672814,0.006079055757508955,0.005083437896106362,-0.0009956178614025923
Hong Kong first stablecoin issuer licences,HK,2026-04-10,7,rolling_volatility_7d,0.0008440385881638389,0.0008160566635751382,-2.7981924588700688e-05,0.002087497995078248,0.002278422097078747,0.00019092410200049906
Hong Kong first stablecoin issuer licences,HK,2026-04-10,7,market_cap_growth_7d,-0.004062867639204619,0.018573906497296733,0.02263677413650135,0.011403928705601068,0.07005105124604272,0.058647122540441646
Hong Kong first stablecoin issuer licences,HK,2026-04-10,7,volume_market_cap_ratio,0.1833631702989144,0.18336317029891439,-2.7755575615628914e-17,0.17838092573872522,0.23165639455019488,0.05327546881146966
Hong Kong first stablecoin issuer licences,HK,2026-04-10,30,peg_deviation,0.0007832533205962814,0.0005441817007517946,-0.00023907161984448682,0.008108552503374134,0.00450758074760075,-0.0036009717557733837
Hong Kong first stablecoin issuer licences,HK,2026-04-10,30,rolling_volatility_7d,0.0007370789945636084,0.000829796626117319,9.271763155371056e-05,0.002622799523599681,0.0023990867366885495,-0.00022371278691113135
Hong Kong first stablecoin issuer licences,HK,2026-04-10,30,market_cap_growth_7d,0.013309800193294873,0.024809129281142057,0.011499329087847183,0.006313838148146567,0.046941782130754665,0.0406279439826081
Hong Kong first stablecoin issuer licences,HK,2026-04-10,30,volume_market_cap_ratio,0.1833631702989144,0.18336317029891439,-2.7755575615628914e-17,0.18724485002792363,0.2434897902549005,0.056244940226976875
Hong Kong first stablecoin issuer licences,HK,2026-04-10,90,peg_deviation,0.001189287459160958,0.0005441817007517946,-0.0006451057584091634,0.006951905687079642,0.00450758074760075,-0.0024443249394788917
Hong Kong first stablecoin issuer licences,HK,2026-04-10,90,rolling_volatility_7d,0.000894033820777233,0.000829796626117319,-6.423719465991403e-05,0.0024044688206346634,0.0023990867366885495,-5.382083946113905e-06
Hong Kong first stablecoin issuer licences,HK,2026-04-10,90,market_cap_growth_7d,-0.018127318153840083,0.024809129281142057,0.042936447434982136,-0.0009903421234485545,0.046941782130754665,0.04793212425420322
Hong Kong first stablecoin issuer licences,HK,2026-04-10,90,volume_market_cap_ratio,0.18336317029891444,0.18336317029891439,-5.551115123125783e-17,0.1989074027572034,0.2434897902549005,0.04458238749769711
